Starting sequence Mon Feb 01 14:30:51 2021
_seqline	_dataname$	_alsbottle	_alsbottle2	_methpath$	_methfile$	_datapath$	_datafile$	_runtype$	_levelid$	_multiplr	_miscinfo$	_sampamt	_injvol	_injvol2	_expbarcode$	_expbarcode2$	_pretreatpath$	_pretreatfile$	_traypicked	_balanceoverride	_damethodpathname$	_damethodfilename$	_dareportpath$	_sampleinformation$	_istdamt	_keyword$	_keywordstring$	_matrixspikegroup$	_samplegroup$	_samplingdatetime	_samplingtime	_totalsampleamount	
11	B039767	18	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039768.D	Sample		0.022	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039767	0						0	0	
12	B039748	20	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039749.D	Sample		0.022	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039748	0						0	0	
13	B039695	58	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039696.D	Sample		0.02	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039695	0						0	0	
14	B039699	59	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039700.D	Sample		0.024	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039699	0						0	0	
15	B039700	60	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039701.D	Sample		0.022	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039700	0						0	0	
16	B039701	61	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039702.D	Sample		0.022	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039701	0						0	0	
17	B039705	63	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039706.D	Sample		0.023	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039705	0						0	0	
18	B039706	64	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039707.D	Sample		0.022	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039706	0						0	0	
19	B039716	67	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039717.D	Sample		0.02	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039716	0						0	0	
20	B039719	68	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039720.D	Sample		0.018	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039719	0						0	0	
21	B039722	70	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039723.D	Sample		0.02	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039722	0						0	0	
22	B039723	71	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039724.D	Sample		0.021	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039723	0						0	0	
23	B039734	72	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039735.D	Sample		0.02	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039734	0						0	0	
24	B039725	74	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039726.D	Sample		0.019	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039725	0						0	0	
25	B039731	76	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039732.D	Sample		0.019	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039731	0						0	0	
26	B039728	78	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039729.D	Sample		0.021	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039728	0						0	0	
27	B039736	80	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039737.D	Sample		0.019	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039736	0						0	0	
28	B039738	81	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039739.D	Sample		0.02	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039738	0						0	0	
29	B039740	82	0	D:\MassHunter\Methods\	algemeen.M	D:\data\overige2021\rk\20200201rk_cocacase28x\	B039741.D	Sample		0.022	RK project Stein	0	1	0			D:\MassHunter\GCMS\1\Pretreat\		Tray1	0				B039740	0						0	0	
